"Date","Actual","ARIMAX","MIDAS nealmon","MIDAS nbeta","U-MIDAS","LASSO-MIDAS","XGBoost","LSTM","CLM-SS (12 lags)"
"2019-10",0.010521,-0.003958,0.000525,-0.001635,-0.000648,0.002197,0.00014,0.001463,-0.003824
"2019-11",0.01026,0.010715,0.001786,0.000623,-0.000222,-0.000163,0.006779,0.009529,0.001216
"2019-12",0.016833,0.001784,0.014874,0.009283,0.012999,0.009494,0.010829,0.012762,0.012886
"2020-01",-0.004681,-0.007345,-0.000795,0.005722,0.003829,0.003338,-0.002771,-0.002805,0.005997
"2020-02",-0.026947,-0.003856,-0.033823,-0.027534,-0.026348,-0.020704,-0.020587,-0.022855,-0.024361
"2020-03",-0.060662,-0.057865,-0.08696,-0.086727,-0.062428,-0.047563,-0.021333,-0.025128,-0.067317
"2020-04",-0.099466,-0.096585,-0.215392,-0.147881,-0.145927,-0.140961,-0.091005,-0.030655,-0.124076
"2020-05",-0.014042,0.046716,-0.228649,-0.169544,-0.123627,-0.043138,-0.008679,-0.036333,-0.14658
"2020-06",0.04716,-0.008316,0.138365,0.147444,0.175008,0.135469,0.049933,-0.028991,0.151754
"2020-07",0.01698,0.024989,0.022588,0.025192,0.024584,0.02797,0.026359,0.014493,0.055782
"2020-08",0.006961,-0.001448,0.008613,0.010284,0.013166,0.012404,0.012481,0.020351,0.014103
"2020-09",0.017426,-0.008117,0.003976,0.000687,0.010118,0.008452,-0.000196,0.007398,0.011372
"2020-10",-0.003014,0.009148,-0.009734,-0.004295,-0.000511,0.00272,0.007875,0.000247,0.005413
"2020-11",0.004599,0.001475,0.008642,0.010464,0.006163,0.009694,-0.002725,0.010297,0.004028
"2020-12",0.042983,0.001492,0.025611,0.029166,0.035468,0.023147,0.027415,0.01528,0.030484
"2021-01",0.032528,0.020249,0.017372,0.021115,0.024218,0.02237,0.048506,0.020577,0.035176
"2021-02",0.031375,0.014808,0.024509,0.028514,0.030053,0.024055,0.034881,0.016496,0.032719
"2021-03",0.046237,0.001574,0.023541,0.025015,0.023687,0.018698,0.019206,0.021941,0.026993
"2021-04",-0.01034,0.019019,0.002191,0.001119,-0.002604,0.000336,-0.002847,0.016362,0.00162
"2021-05",0.011372,-0.012388,0.009273,0.007814,0.010831,0.006447,0.009214,0.012197,0.004714
"2021-06",0.016179,0.010981,0.01315,0.016398,0.01382,0.010602,0.023689,0.014942,0.017785
"2021-07",0.012274,0.003315,0.013721,0.009725,0.005432,0.007233,0.009856,0.016629,0.008837
"2021-08",0.017621,-0.002037,-0.005648,-0.010936,-0.022909,-0.017512,-0.016913,-0.008463,-0.024128
"2021-09",0.018972,0.008377,-0.005331,-0.001993,-0.003255,-0.006391,0.003179,-0.008394,0.000704
"2021-10",0.037816,0.006564,0.016709,0.021194,0.024557,0.020501,0.032158,0.01687,0.032092
"2021-11",0.034877,0.008819,0.013179,0.010347,0.009112,0.01001,0.002694,0.013717,0.013295
"2021-12",0.015426,0.015422,0.000563,0.00099,0.002899,0.001875,0.007333,0.016964,0.006912
"2022-01",0.008512,0.004577,0.025443,0.032256,0.028303,0.020842,0.030022,0.012649,0.031897
"2022-02",0.01882,0.005505,0.022885,0.025216,0.033737,0.028702,0.032274,0.019629,0.037615
"2022-03",0.096118,0.017217,0.023478,0.02133,0.021117,0.021277,0.01552,0.022893,0.024119
"2022-04",-0.025543,0.030848,0.030275,0.033106,0.011313,0.003016,-0.000695,0.016328,0.022714
"2022-05",0.044993,-0.018103,0.006006,0.008911,0.01952,0.015983,0.009431,0.018067,0.021946
"2022-06",0.066964,0.017502,0.014599,0.017417,0.021873,0.021014,0.019651,0.014007,0.028757
"2022-07",-0.049982,0.015552,-0.006278,-0.010105,-0.0147,-0.009273,-0.009765,0.002643,-0.008446
"2022-08",-0.052288,-0.025416,-0.015384,-0.019568,-0.022894,-0.016406,-0.026654,-0.02405,-0.036017
"2022-09",-0.014274,-0.005475,-0.011761,-0.014042,-0.023655,-0.022079,-0.018107,-0.03091,-0.037611
"2022-10",0.019669,0.021085,-0.004839,-0.00574,0.003871,0.002099,-0.004341,-0.015478,0.004221
"2022-11",-0.006147,-0.00653,0.012369,0.011845,0.006035,0.003854,-0.003694,-0.005549,0.010746
"2022-12",-0.040307,-0.009889,-0.010212,-0.011768,-0.026827,-0.01963,-0.019012,0.004708,-0.029683
"2023-01",0.021713,0.003904,-7.3e-05,0.001621,-0.001706,-0.004964,-0.010388,0.001514,-0.01636
"2023-02",-0.013463,0.015559,-0.000111,0.000171,0.003267,0.00455,0.007111,0.002773,0.006458
"2023-03",-0.020415,-0.019317,-0.009163,-0.016765,-0.00686,-0.002223,-0.01483,-0.016398,-0.007338
"2023-04",-0.007124,-0.001879,-0.000102,0.004636,0.005591,0.003228,0.013403,0.000787,0.004483
"2023-05",-0.023732,0.014704,0.005531,0.002394,-0.011111,-0.006729,-0.011539,-0.005963,-0.011151
"2023-06",0.005233,-0.009888,-0.004128,-0.003655,0.003153,-0.000135,0.008864,0.00616,-0.003693
"2023-07",-0.000595,0.000366,0.010216,0.012185,0.010889,0.011574,0.012592,0.017287,0.014813
"2023-08",0.0418,0.010013,0.020574,0.021288,0.021798,0.015704,0.022382,0.015099,0.018533
"2023-09",0.018323,0.025044,0.011183,0.013671,0.016042,0.013966,0.027006,0.024888,0.024654
"2023-10",-0.020222,-0.011525,0.010967,0.01128,0.004559,0.004257,0.009936,0.016343,0.005939
"2023-11",-0.016238,-0.00823,-0.01285,-0.017455,-0.012517,-0.006466,-0.016752,-0.006238,-0.015502
"2023-12",-0.004914,0.012732,-0.013619,-0.013366,-0.02324,-0.019144,-0.012831,-0.021934,-0.02878
"2024-01",-0.002889,-0.001,-0.000852,-0.001561,0.001958,0.002365,-0.004274,-0.007706,-0.000225
"2024-02",0.011994,-0.008144,0.007199,0.009135,0.008893,0.006723,0.004085,0.006946,0.00865
"2024-03",0.018731,0.016076,0.008042,0.010226,0.01241,0.012128,0.007592,0.012498,0.015989
"2024-04",-0.003738,0.012599,0.010051,0.010106,0.017538,0.015816,0.022141,0.016205,0.019849
"2024-05",-0.012054,-0.011698,0.004426,0.003035,-0.00319,-0.00145,0.000903,0.007554,-0.004144
"2024-06",-0.020913,0.002526,0.000235,0.002543,-0.006838,-0.00611,-0.003937,0.008287,-0.011765
"2024-07",1.1e-05,0.004511,0.005926,0.006547,0.018479,0.014725,0.01713,0.007799,0.015409
"2024-08",-0.009318,-0.001031,-0.001171,-0.004357,-0.009746,-0.003099,-0.006829,0.002786,-0.008839
"2024-09",-0.011032,-0.011575,-0.005115,-0.005443,-0.017568,-0.018635,-0.022505,-0.012881,-0.025996
"2024-10",0.00118,0.008242,-0.005909,-0.007184,-0.001761,0.002725,1e-05,-0.000981,-0.00181
"2024-11",0.001018,0.006651,0.00702,0.007494,0.011261,0.004681,-0.00851,0.000975,0.009442
"2024-12",0.023678,-0.004256,0.004987,0.006022,0.003375,0.005976,0.008833,0.012781,0.008715
"2025-01",0.008692,0.008892,0.007856,0.009179,0.010012,0.007432,0.010362,0.005629,0.008195
"2025-02",-0.000624,0.006445,0.002406,0.00162,-0.001584,-0.00167,-0.009272,0.000299,-0.001412
"2025-03",-0.011373,-0.000407,-0.004116,-0.006066,-0.008447,-0.005237,-0.005885,-0.004031,-0.009528
"2025-04",-0.00562,-0.007645,-0.005385,-0.009456,-0.002539,-0.002602,-0.004823,-0.010532,-0.004148
"2025-05",-0.007114,0.007385,-0.008063,-0.004676,-0.012528,-0.007102,-0.003425,-0.006237,-0.010695
"2025-06",0.004279,0.003704,0.012741,0.023643,0.028559,0.017529,0.011361,0.014776,0.023628
"2025-07",-0.006195,-0.000582,0.016067,0.014629,0.028472,0.029449,0.016023,0.019079,0.032066
"2025-08",0.006831,-0.001715,-0.001949,-0.005374,-0.010979,-0.008911,-0.009156,0.00496,-0.019522
"2025-09",0.01423,0.008404,-0.007617,-0.00808,-0.008033,-0.00646,-0.003287,-0.008615,-0.008114
"2025-12",0.003423,0.002445,0.002036,-0.000892,0.000984,0.00208,-0.000173,-0.006817,0.002952
"2026-01",-0.014771,0.004758,0.005427,0.006553,-0.002705,-0.003148,0.004886,0.006583,-0.003776
"2026-02",0.00633,0.002041,0.015067,0.016705,0.016077,0.011361,0.012032,0.016563,0.01378
"2026-03",0.103219,0.022755,0.033638,0.048037,0.059201,0.045613,0.023797,0.03132,0.063408
"2026-04",0.037376,0.023265,0.051891,0.048056,0.066106,0.056727,0.058607,0.042188,0.080803
