"Model","RMSE","MAE","Dir_Acc_pct","vs_ARIMAX_pct","Complexity","Interpretable"
"ARIMAX",0.029863,0.021978,64.6,0,"Monthly average","Low"
"Kernel U-MIDAS",0.022259,0.016772,75,-25.5,"12 lags + smoothness penalty","High"
"U-MIDAS",0.022259,0.016772,75,-25.5,"12 free lags","Partial"
"MIDAS nealmon",0.021043,0.015659,80.2,-29.5,"3 lag-shape params","High"
"MIDAS nbeta",0.020568,0.015571,74,-31.1,"3 lag-shape params","High"
"XGBoost",0.023649,0.01772,72.9,-20.8,"Tree ensemble","Medium"
