"Model","RMSE","MAE"
"ARIMAX",0.01585843687027,0.014224531767204
"ADL-MIDAS (nealmon)",0.0077036692079102,0.00577133663891724
"U-MIDAS",0.0085274651499071,0.00706654227430757
